Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
V2A,0.8,V2A,0.8,Kopf,2.5,6,50,4.361849,,
V2A,0.8,V2A,0.8,Kopf,2.5,6,150,4.421867,,
V2A,0.8,V2A,0.8,Kopf,2.5,7,100,5.454804,,
V2A,0.8,V2A,0.8,Kopf,2.5,8,50,6.582507,,
V2A,0.8,V2A,0.8,Kopf,2.5,8,150,6.76256,,
V2A,0.8,V2A,0.8,Kopf,3,6,100,4.317626,,
V2A,0.8,V2A,0.8,Kopf,3,7,50,4.876739,,
V2A,0.8,V2A,0.8,Kopf,3,7,100,6.784214,,
V2A,0.8,V2A,0.8,Kopf,3,7,150,7.147937,,
V2A,0.8,V2A,0.8,Kopf,3,8,100,5.552728,,
V2A,0.8,V2A,0.8,Kopf,3.5,6,50,4.892533,,
V2A,0.8,V2A,0.8,Kopf,3.5,6,150,5.389923,,
V2A,0.8,V2A,0.8,Kopf,3.5,7,100,5.9002,,
V2A,0.8,V2A,0.8,Kopf,3.5,8,50,6.46563,,
V2A,0.8,V2A,0.8,Kopf,3.5,8,150,7.22059,,
V2A,0.8,V2A,1,Kopf,3.5,6.5,100,7.621762,,
V2A,0.8,V2A,1,Kopf,3.5,6.5,200,8.136651,,
V2A,0.8,V2A,1,Kopf,3.5,7.5,150,6.647493,,
V2A,0.8,V2A,1,Kopf,3.5,8.5,100,7.362738,,
V2A,0.8,V2A,1,Kopf,3.5,8.5,200,8.484122,,
V2A,0.8,V2A,1,Kopf,4,6.5,150,6.914184,,
V2A,0.8,V2A,1,Kopf,4,7.5,100,7.918692,,
V2A,0.8,V2A,1,Kopf,4,7.5,150,7.985844,,
V2A,0.8,V2A,1,Kopf,4,7.5,200,7.893421,,
V2A,0.8,V2A,1,Kopf,4,8.5,150,6.421406,,
V2A,0.8,V2A,1,Kopf,4.5,6.5,100,5.227369,,
V2A,0.8,V2A,1,Kopf,4.5,6.5,200,5.870421,,
V2A,0.8,V2A,1,Kopf,4.5,7.5,150,6.048665,,
V2A,0.8,V2A,1,Kopf,4.5,8.5,100,5.505346,,
V2A,0.8,V2A,1,Kopf,4.5,8.5,200,6.405612,,
V2A,0.8,V2A,1.5,Kopf,2.5,6,50,6.225559,,
V2A,0.8,V2A,1.5,Kopf,2.5,6,150,6.309676,,
V2A,0.8,V2A,1.5,Kopf,2.5,7,100,6.070776,,
